createAt,manageObject,M8205C2,M8205C0,M8205C1,M8205C6,M8205C14,M8205C4,M8205C32,M8205C11,M8205C12,M8205C21
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,7.0,,,,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T21:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T22:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T22:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T22:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T23:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T23:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-06T23:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T00:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T00:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T00:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T01:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T01:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T01:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T02:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T02:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T02:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T03:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T03:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T03:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T04:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T04:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T04:30:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,8.0,,,,,,
2025-05-07T05:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T05:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T05:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T06:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T06:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T06:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T07:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,2.0,,,,,
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,2.0,,,,,
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-690204,4,-102,-100.0,,,1.0,2.0,,,
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,2.0,,,1.0,,
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,8.0,,,,,,
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,,,,8.0,1.0,1.0
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,,,1.0,,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-690204,4,-109,-109.0,,,,,,13.0,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T11:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T11:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T12:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T12:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T12:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-690204,4,-130,,,,,,,,
